tier;score;distance;vocab_id;vocab_type;vocab_label;vocab_lang;artwork_count;edm_uri;edm_pref_label;edm_alt_label;edm_all_alts;already_in_db;notes
5;0.926;4;311220632;organisation;Berlin Photographic Company;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.67652;Photographic Company;Photographic Co.;Photographic Co.;false;fuzzy token_set=100.0, ratio=85.1063829787234
5;0.935;1;311141257;organisation;Cock, Hieronymus;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.104688;Bock, Hiëronymus;Tragus;Tragus;false;fuzzy token_set=93.33333333333333, ratio=93.75
5;0.871;4;21054122;group;Engelse Oostindische Compagnie;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.84176;Verenigde Oostindische Compagnie;VOC;VOC;false;fuzzy token_set=87.09677419354838, ratio=87.09677419354838
5;0.900;3;210152688;group;Franse Oost-Indische Compagnie;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.154147;Britse Oost-Indische Compagnie;East India Company;East India Company;false;fuzzy token_set=90.0, ratio=90.0
5;0.880;3;31140874;organisation;Gemeentearchief Amsterdam;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.95947;Gemeentearchief Rotterdam;Rotterdam, Gemeentearchief;Rotterdam, Gemeentearchief;false;fuzzy token_set=88.0, ratio=88.0
5;0.870;3;31140876;organisation;Gemeentearchief Breda;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.95947;Gemeentearchief Rotterdam;Rotterdam, Gemeentearchief;Rotterdam, Gemeentearchief;false;fuzzy token_set=86.95652173913044, ratio=86.95652173913044
5;0.934;4;31150527;organisation;Hessisches Landesmuseum Kassel;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.135926;Hessisches Landesmuseum;Grossherzogliches Museum Darmstadt;Grossherzogliches Museum Darmstadt;false;fuzzy token_set=100.0, ratio=86.79245283018868
5;0.861;3;311141093;organisation;Houtman, Cornelis de;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.26638;Bout, Cornelis de;Boudt, Cornelis de;Boudt, Cornelis de;false;fuzzy token_set=85.71428571428571, ratio=86.48648648648648
5;0.887;4;31162083;organisation;Koninklijk Instituut voor de Marine;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.135;Koninklijk Instituut voor de Tropen;Tropenmuseum;Tropenmuseum;false;fuzzy token_set=88.88888888888889, ratio=88.57142857142857
5;0.882;4;21066048;group;Koninklijk Wiskundig Genootschap;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.372;Koninklijk Oudheidkundig Genootschap;KOG;KOG;false;fuzzy token_set=88.23529411764706, ratio=88.23529411764706
5;0.875;3;31164123;organisation;Kunsthandel A.H. Bies;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.7694;Kunsthandel H. Berès;Berès, Kunsthandel H.;Berès, Kunsthandel H.;false;fuzzy token_set=87.17948717948718, ratio=87.8048780487805
5;0.882;2;21073309;group;Kunsthandel Abels;nl;0;http://hdl.handle.net/10934/RM0001.PEOPLE.83911;Kunsthandel Almas;Almas, Kunsthandel;Almas, Kunsthandel;false;fuzzy token_set=88.23529411764706, ratio=88.23529411764706
5;0.857;3;311172356;organisation;Kunsthandel Arti;en;0;http://hdl.handle.net/10934/RM0001.PEOPLE.74708;Kunsthandel Magrobi;Magrobi, Kunsthandel;Magrobi, Kunsthandel;false;fuzzy token_set=85.71428571428571, ratio=85.71428571428572
