id,place_name,label_en,label_nl,external_id,category,artwork_count
230455,"Universiteit van Amsterdam",,"Universiteit van Amsterdam",,no_external_id__used,68
23015716,Rialtobrug,,Rialtobrug,,no_external_id__used,67
23011586,"Huis De Voorst",,"Huis De Voorst",,no_external_id__used,67
23011417,Vrijdagmarkt,,Vrijdagmarkt,,no_external_id__used,66
2308052,Noordermarkt,,Noordermarkt,,no_external_id__used,66
2305974,"Bindjai Langkat",,"Bindjai Langkat",,no_external_id__used,66
23012480,Eusebiuskerk,,Eusebiuskerk,,no_external_id__used,66
2307293,Oudemannenhuis,,Oudemannenhuis,,no_external_id__used,66
2305933,Bonaire,,Bonaire,,no_external_id__used,66
23028709,"Dura Den",,"Dura Den",,no_external_id__used,64
2307230,Binnengasthuis,,Binnengasthuis,,no_external_id__used,64
23013693,"Hollandsche Gasfabriek",,"Hollandsche Gasfabriek",,no_external_id__used,62
2307305,"Nieuwe Teertuinen",,"Nieuwe Teertuinen",,no_external_id__used,62
230768,Vigo,,Vigo,,no_external_id__used,62
23029379,"Velperplein 14",,"Velperplein 14",,no_external_id__used,61
2308226,"Boog van Septimius Severus",,"Boog van Septimius Severus",,no_external_id__used,61
2307622,Commandantshuis,,Commandantshuis,,no_external_id__used,60
2307270,Corvershof,,Corvershof,,no_external_id__used,60
2308184,Gevangenpoort,,Gevangenpoort,,no_external_id__used,60
2308199,"Huis ter Kleef",,"Huis ter Kleef",,no_external_id__used,60
23017799,"Kasteel Gunterstein",,"Kasteel Gunterstein",,no_external_id__used,60
2308116,"Amsterdamse Poort",,"Amsterdamse Poort",,no_external_id__used,60
230508,Rijnberg,,Rijnberg,,no_external_id__used,59
2309820,"Piramide van Cestius",,"Piramide van Cestius",,no_external_id__used,59
2307678,Oostenburg,,Oostenburg,,no_external_id__used,57
2302446,"Hampton Court Palace",,"Hampton Court Palace",,no_external_id__used,57
2308675,Baptisterium,,Baptisterium,,no_external_id__used,57
230953,Neude,,Neude,,no_external_id__used,56
2308305,"Kasteel Rosendael",,"Kasteel Rosendael",,no_external_id__used,55
2307349,Stadhouderskade,,Stadhouderskade,,no_external_id__used,55
2308394,"Thermen van Diocletianus",,"Thermen van Diocletianus",,no_external_id__used,54
23022085,"RAI Amsterdam",,"RAI Amsterdam",,no_external_id__used,54
2307226,Halvemaansbrug,,Halvemaansbrug,,no_external_id__used,54
23013853,"Torre dell'Orologio",,"Torre dell'Orologio",,no_external_id__used,54
2308124,Lauriergracht,,Lauriergracht,,no_external_id__used,53
